Timestamp,Occupancy,Capacity,QueueLength,TrafficConditionNearby,VehicleType,IsSpecialDay
2016-10-04 09:59:00,1052,3103,3,low,cycle,0
2016-10-04 09:59:00,476,2803,3,low,car,0
2016-10-04 09:59:00,236,387,2,low,car,0
2016-10-04 09:59:00,1142,2009,3,low,car,0
2016-10-04 09:59:00,1163,2937,3,low,car,0
2016-10-04 09:59:00,600,690,2,low,car,0
2016-10-04 09:59:00,327,485,3,average,car,0
2016-10-04 09:59:00,150,577,2,low,bike,0
2016-10-04 09:59:00,2802,3883,3,low,truck,0
2016-10-04 09:59:00,485,687,3,low,car,0
2016-10-04 10:26:00,715,1322,3,low,car,0
2016-10-04 10:26:00,430,470,3,low,car,0
2016-10-04 10:26:00,1142,3103,4,low,car,0
2016-10-04 10:26:00,642,690,4,low,car,0
2016-10-04 10:26:00,177,577,3,low,car,0
2016-10-04 10:26:00,1245,2009,4,low,truck,0
2016-10-04 10:26:00,525,2803,4,low,cycle,0
2016-10-04 10:26:00,686,1200,4,average,car,0
2016-10-04 10:26:00,1257,2937,3,low,car,0
2016-10-04 10:26:00,3035,3883,5,low,car,0
2016-10-04 10:26:00,1324,1920,4,low,car,0
2016-10-04 10:26:00,530,687,5,average,car,0
2016-10-04 10:26:00,351,485,3,low,car,0
2016-10-04 10:26:00,264,387,3,low,car,0
2016-10-04 10:59:00,1387,1920,5,average,car,0
2016-10-04 10:59:00,729,1200,4,average,car,0
2016-10-04 10:59:00,1354,2937,7,high,bike,0
2016-10-04 10:59:00,1210,3103,5,average,car,0
2016-10-04 10:59:00,3169,3883,6,average,car,0
2016-10-04 10:59:00,573,687,4,average,car,0
2016-10-04 10:59:00,675,690,4,average,bike,0
2016-10-04 10:59:00,371,485,6,high,car,0
2016-10-04 10:59:00,791,1322,4,average,car,0
2016-10-04 10:59:00,219,577,6,high,truck,0
2016-10-04 10:59:00,308,387,4,average,car,0
2016-10-04 10:59:00,574,2803,4,average,truck,0
2016-10-04 10:59:00,458,470,6,high,cycle,0
2016-10-04 10:59:00,1364,2009,5,average,bike,0
2016-10-04 11:25:00,1428,1920,6,average,truck,0
2016-10-04 11:25:00,765,1200,5,average,car,0
2016-10-04 11:25:00,247,577,5,average,car,0
2016-10-04 11:25:00,820,1322,5,average,truck,0
2016-10-04 11:25:00,1369,2937,6,average,bike,0
2016-10-04 11:25:00,1424,2009,6,average,bike,0
2016-10-04 11:25:00,464,470,5,average,car,0
2016-10-04 11:25:00,1241,3103,9,high,truck,0
2016-10-04 11:25:00,3221,3883,7,average,truck,0
2016-10-04 11:25:00,604,687,5,average,bike,0
2016-10-04 11:25:00,588,2803,5,average,truck,0
2016-10-04 11:25:00,324,387,5,average,bike,0
2016-10-04 11:25:00,373,485,7,high,truck,0
2016-10-04 11:25:00,672,690,6,average,car,0
2016-10-04 11:59:00,1288,3103,6,average,bike,0
2016-10-04 11:59:00,3248,3883,7,average,bike,0
2016-10-04 11:59:00,259,577,5,average,cycle,0
2016-10-04 11:59:00,1390,2937,6,average,car,0
2016-10-04 11:59:00,605,2803,5,average,car,0
2016-10-04 11:59:00,332,387,5,average,car,0
2016-10-04 11:59:00,1470,2009,6,average,bike,0
2016-10-04 11:59:00,836,1322,8,high,car,0
2016-10-04 11:59:00,677,690,7,high,car,0
2016-10-04 11:59:00,1447,1920,6,average,car,0
2016-10-04 11:59:00,381,485,7,high,car,0
2016-10-04 11:59:00,771,1200,6,average,car,0
2016-10-04 11:59:00,634,687,5,average,bike,0
2016-10-04 11:59:00,460,470,5,average,bike,0
2016-10-04 12:29:00,1460,1920,10,high,cycle,0
2016-10-04 12:29:00,3251,3883,11,high,car,0
2016-10-04 12:29:00,266,577,8,high,bike,0
2016-10-04 12:29:00,1397,2937,10,high,car,0
2016-10-04 12:29:00,779,1200,9,high,cycle,0
2016-10-04 12:29:00,1484,2009,10,high,car,0
2016-10-04 12:29:00,464,470,8,high,car,0
2016-10-04 12:29:00,604,2803,9,high,car,0
2016-10-04 12:29:00,683,690,9,high,car,0
2016-10-04 12:29:00,334,387,8,high,car,0
2016-10-04 12:29:00,648,687,9,high,bike,0
2016-10-04 12:29:00,1297,3103,10,high,truck,0
2016-10-04 12:29:00,836,1322,9,high,car,0
2016-10-04 12:29:00,379,485,6,average,car,0
2016-10-04 12:56:00,374,485,8,high,bike,0
2016-10-04 13:02:00,1448,1920,9,high,car,0
2016-10-04 13:02:00,810,1322,8,high,car,0
2016-10-04 13:02:00,3232,3883,10,high,car,0
2016-10-04 13:02:00,269,577,7,high,car,0
2016-10-04 13:02:00,1288,3103,9,high,bike,0
2016-10-04 13:02:00,660,690,8,high,bike,0
2016-10-04 13:02:00,333,387,7,high,car,0
2016-10-04 13:02:00,1461,2009,8,high,bike,0
2016-10-04 13:02:00,458,470,8,high,car,0
2016-10-04 13:02:00,651,687,6,average,truck,0
2016-10-04 13:02:00,1367,2937,9,high,car,0
2016-10-04 13:02:00,773,1200,7,high,truck,0
2016-10-04 13:02:00,596,2803,8,high,car,0
2016-10-04 13:29:00,648,687,8,high,car,0
2016-10-04 13:29:00,375,485,7,high,bike,0
2016-10-04 13:29:00,263,577,7,high,car,0
2016-10-04 13:29:00,758,1200,6,average,car,0
2016-10-04 13:29:00,581,2803,7,high,car,0
2016-10-04 13:29:00,331,387,7,high,car,0
2016-10-04 13:29:00,1432,1920,9,high,cycle,0
2016-10-04 13:29:00,450,470,8,high,car,0
2016-10-04 13:29:00,3184,3883,10,high,bike,0
2016-10-04 13:29:00,811,1322,8,high,truck,0
2016-10-04 13:29:00,1459,2009,8,high,car,0
2016-10-04 13:29:00,648,690,8,high,cycle,0
2016-10-04 13:29:00,1360,2937,9,high,car,0
2016-10-04 13:29:00,1273,3103,8,high,cycle,0
2016-10-04 14:02:00,576,2803,4,average,car,0
2016-10-04 14:02:00,815,1322,4,average,truck,0
2016-10-04 14:02:00,757,1200,5,average,car,0
2016-10-04 14:02:00,1352,2937,5,average,car,0
2016-10-04 14:02:00,381,485,5,average,car,0
2016-10-04 14:02:00,1262,3103,5,average,car,0
2016-10-04 14:02:00,3145,3883,5,average,truck,0
2016-10-04 14:02:00,238,577,5,high,car,0
2016-10-04 14:02:00,639,690,6,high,car,0
2016-10-04 14:02:00,1430,1920,5,average,car,0
2016-10-04 14:02:00,1452,2009,5,average,car,0
2016-10-04 14:02:00,332,387,4,average,car,0
2016-10-04 14:02:00,637,687,6,high,car,0
2016-10-04 14:02:00,446,470,4,average,car,0
2016-10-04 14:29:00,627,687,4,average,truck,0
2016-10-04 14:29:00,3113,3883,5,average,bike,0
2016-10-04 14:29:00,1318,2937,5,average,car,0
2016-10-04 14:29:00,1429,1920,4,average,car,0
2016-10-04 14:29:00,322,387,3,average,car,0
2016-10-04 14:29:00,215,577,3,average,truck,0
2016-10-04 14:29:00,560,2803,4,average,car,0
2016-10-04 14:29:00,433,470,4,average,bike,0
2016-10-04 14:29:00,1420,2009,7,high,bike,0
2016-10-04 14:29:00,621,690,4,average,car,0
2016-10-04 14:29:00,1238,3103,5,average,car,0
2016-10-04 14:29:00,793,1322,4,average,bike,0
2016-10-04 14:29:00,373,485,4,average,car,0
2016-10-04 14:29:00,760,1200,4,average,car,0
2016-10-04 14:57:00,307,387,4,average,truck,0
2016-10-04 14:57:00,593,687,4,average,cycle,0
2016-10-04 14:57:00,3011,3883,6,average,car,0
2016-10-04 14:57:00,354,485,4,average,bike,0
2016-10-04 14:57:00,1381,1920,5,average,car,0
2016-10-04 14:57:00,529,2803,4,average,bike,0
2016-10-04 14:57:00,426,470,4,average,car,0
2016-10-04 14:57:00,1346,2009,4,average,car,0
2016-10-04 14:57:00,1169,3103,5,average,car,0
2016-10-04 14:57:00,606,690,5,average,car,0
2016-10-04 14:57:00,753,1322,4,average,cycle,0
2016-10-04 14:57:00,727,1200,4,average,car,0
2016-10-04 14:57:00,1267,2937,7,high,bike,0
2016-10-04 14:57:00,192,577,3,average,bike,0
2016-10-04 15:30:00,581,690,2,low,car,0
2016-10-04 15:30:00,294,387,2,low,car,0
2016-10-04 15:30:00,1300,1920,3,low,car,0
2016-10-04 15:30:00,1288,2009,3,low,bike,0
2016-10-04 15:30:00,1127,3103,3,low,car,0
2016-10-04 15:30:00,716,1322,2,low,car,0
2016-10-04 15:30:00,411,470,3,low,car,0
2016-10-04 15:30:00,338,485,3,low,car,0
2016-10-04 15:30:00,572,687,3,average,car,0
2016-10-04 15:30:00,165,577,2,low,car,0
2016-10-04 15:30:00,1213,2937,4,average,car,0
2016-10-04 15:30:00,678,1200,3,low,car,0
2016-10-04 15:30:00,511,2803,2,low,car,0
2016-10-04 15:30:00,2839,3883,4,low,car,0
2016-10-04 16:04:00,534,690,2,low,car,0
2016-10-04 16:04:00,317,485,2,low,car,0
2016-10-04 16:04:00,270,387,1,low,car,0
2016-10-04 16:04:00,1121,2937,3,average,truck,0
2016-10-04 16:04:00,664,1322,2,low,bike,0
2016-10-04 16:04:00,648,1200,3,low,bike,0
2016-10-04 16:04:00,511,687,3,low,car,0
2016-10-04 16:04:00,461,2803,3,average,car,0
2016-10-04 16:04:00,162,577,1,low,bike,0
2016-10-04 16:04:00,376,470,3,low,bike,0
2016-10-04 16:04:00,1019,3103,3,low,car,0
2016-10-04 16:04:00,1218,1920,3,low,car,0
2016-10-04 16:04:00,1175,2009,3,low,cycle,0
2016-10-04 16:04:00,2656,3883,2,low,bike,0
2016-10-04 16:31:00,143,577,2,average,car,0
2016-10-04 16:31:00,618,1322,2,low,truck,0
2016-10-04 16:31:00,1015,2937,2,low,car,0
2016-10-04 16:31:00,936,3103,2,low,bike,0
2016-10-04 16:31:00,1089,2009,2,low,car,0
2016-10-04 16:31:00,2359,3883,3,low,car,0
2016-10-04 16:31:00,1075,1920,2,low,truck,0
2016-10-04 16:31:00,245,387,2,low,car,0
2016-10-04 16:31:00,406,2803,2,low,truck,0
2016-10-04 16:31:00,466,690,2,average,cycle,0
2016-10-04 16:31:00,471,687,2,low,car,0
2016-10-04 16:31:00,325,470,2,low,car,0
2016-10-04 16:31:00,304,485,2,low,car,0
2016-10-04 16:31:00,565,1200,2,average,cycle,0
2016-10-05 07:57:00,282,687,2,low,bike,0
2016-10-05 07:57:00,453,1322,2,low,car,0
2016-10-05 07:57:00,246,2803,2,low,bike,0
2016-10-05 07:57:00,735,2009,2,low,bike,0
2016-10-05 07:57:00,602,1920,2,low,car,0
2016-10-05 07:57:00,54,577,1,low,car,0
2016-10-05 07:57:00,1104,3883,3,low,car,0
2016-10-05 07:57:00,650,3103,2,low,bike,0
2016-10-05 07:57:00,146,387,2,low,car,0
2016-10-05 07:57:00,268,485,2,low,car,0
2016-10-05 07:57:00,127,470,1,low,car,0
2016-10-05 07:57:00,594,2937,2,low,car,0
2016-10-05 07:57:00,229,1200,2,average,car,0
2016-10-05 07:57:00,180,690,2,low,car,0
2016-10-05 08:30:00,487,1322,2,low,car,0
2016-10-05 08:30:00,333,1200,2,low,cycle,0
2016-10-05 08:30:00,294,690,2,low,car,0
2016-10-05 08:30:00,59,577,1,average,car,0
2016-10-05 08:30:00,1599,3883,2,low,car,0
2016-10-05 08:30:00,169,387,2,low,car,0
2016-10-05 08:30:00,779,1920,2,low,bike,0
2016-10-05 08:30:00,817,2009,2,low,car,0
2016-10-05 08:30:00,326,2803,2,low,car,0
2016-10-05 08:30:00,760,3103,2,low,car,0
2016-10-05 08:30:00,273,485,1,low,car,0
2016-10-05 08:30:00,201,470,2,low,truck,0
2016-10-05 08:30:00,736,2937,2,low,truck,0
2016-10-05 08:30:00,330,687,2,low,car,0
2016-10-05 09:04:00,896,3103,4,average,car,0
2016-10-05 09:04:00,419,2803,2,low,car,0
2016-10-05 09:04:00,424,690,2,low,car,0
2016-10-05 09:04:00,293,485,2,low,car,0
2016-10-05 09:04:00,949,2009,2,low,car,0
2016-10-05 09:04:00,395,687,3,average,cycle,0
2016-10-05 09:04:00,2142,3883,3,low,car,0
2016-10-05 09:04:00,554,1322,2,low,bike,0
2016-10-05 09:04:00,928,2937,3,low,cycle,0
2016-10-05 09:04:00,470,1200,2,low,bike,0
2016-10-05 09:04:00,975,1920,4,average,car,0
2016-10-05 09:04:00,211,387,2,low,bike,0
2016-10-05 09:04:00,71,577,2,low,car,0
2016-10-05 09:04:00,283,470,2,low,car,0
2016-10-05 09:30:00,317,485,2,low,car,0
2016-10-05 09:30:00,1090,2009,3,average,car,0
2016-10-05 09:30:00,1138,1920,3,low,car,0
2016-10-05 09:30:00,256,387,3,low,bike,0
2016-10-05 09:30:00,1083,2937,4,average,car,0
2016-10-05 09:30:00,2552,3883,3,low,car,0
2016-10-05 09:30:00,347,470,2,low,cycle,0
2016-10-05 09:30:00,83,577,2,average,car,0
2016-10-05 09:30:00,464,687,2,low,car,0
2016-10-05 09:30:00,1003,3103,3,low,car,0
2016-10-05 09:30:00,584,1200,3,low,car,0
2016-10-05 09:30:00,626,1322,3,low,car,0
2016-10-05 09:30:00,478,2803,3,low,cycle,0
2016-10-05 09:30:00,510,690,2,low,car,0
2016-10-05 10:04:00,339,485,3,low,truck,0
2016-10-05 10:04:00,1221,2937,4,low,truck,0
2016-10-05 10:04:00,1246,2009,5,average,car,0
2016-10-05 10:04:00,699,1200,5,average,car,0
2016-10-05 10:04:00,710,1322,3,low,car,0
2016-10-05 10:04:00,1306,1920,4,low,truck,0
2016-10-05 10:04:00,572,690,3,low,car,0
2016-10-05 10:04:00,310,387,3,low,car,0
2016-10-05 10:04:00,536,687,4,low,car,0
2016-10-05 10:04:00,114,577,3,low,car,0
2016-10-05 10:04:00,1112,3103,4,low,bike,0
2016-10-05 10:04:00,383,470,3,low,bike,0
2016-10-05 10:04:00,2957,3883,4,low,car,0
2016-10-05 10:04:00,547,2803,4,average,car,0
2016-10-05 10:30:00,404,470,4,average,bike,0
2016-10-05 10:30:00,1379,1920,5,average,car,0
2016-10-05 10:30:00,1288,2937,7,high,car,0
2016-10-05 10:30:00,355,485,3,average,car,0
2016-10-05 10:30:00,1339,2009,4,average,car,0
2016-10-05 10:30:00,586,2803,5,average,bike,0
2016-10-05 10:30:00,337,387,5,high,bike,0
2016-10-05 10:30:00,128,577,4,high,truck,0
2016-10-05 10:30:00,598,690,4,average,bike,0
2016-10-05 10:30:00,1182,3103,6,high,car,0
2016-10-05 10:30:00,761,1322,4,average,car,0
2016-10-05 10:30:00,736,1200,5,average,truck,0
2016-10-05 10:30:00,578,687,4,average,cycle,0
2016-10-05 10:30:00,3117,3883,5,average,car,0
2016-10-05 11:04:00,619,687,5,average,car,0
2016-10-05 11:04:00,1330,2937,6,average,car,0
2016-10-05 11:04:00,624,690,6,average,car,0
2016-10-05 11:04:00,757,1200,5,average,bike,0
2016-10-05 11:04:00,420,470,5,average,car,0
2016-10-05 11:04:00,1410,1920,7,average,bike,0
2016-10-05 11:04:00,367,485,6,average,truck,0
2016-10-05 11:04:00,1411,2009,9,high,car,0
2016-10-05 11:04:00,3177,3883,10,high,car,0
2016-10-05 11:04:00,339,387,5,average,car,0
2016-10-05 11:04:00,148,577,4,average,bike,0
2016-10-05 11:04:00,1250,3103,6,average,bike,0
2016-10-05 11:04:00,792,1322,8,high,car,0
2016-10-05 11:04:00,603,2803,5,average,car,0
2016-10-05 11:30:00,366,485,5,average,car,0
2016-10-05 11:30:00,1436,2009,7,average,bike,0
2016-10-05 11:30:00,1340,2937,6,average,car,0
2016-10-05 11:30:00,1259,3103,6,average,truck,0
2016-10-05 11:30:00,796,1322,6,average,bike,0
2016-10-05 11:30:00,429,470,8,high,cycle,0
2016-10-05 11:30:00,640,687,6,average,cycle,0
2016-10-05 11:30:00,634,690,5,average,car,0
2016-10-05 11:30:00,1430,1920,6,average,car,0
2016-10-05 11:30:00,340,387,5,average,truck,0
2016-10-05 11:30:00,3194,3883,6,average,car,0
2016-10-05 11:30:00,162,577,4,average,car,0
2016-10-05 11:30:00,593,2803,5,average,car,0
2016-10-05 11:30:00,774,1200,6,average,car,0
2016-10-05 12:04:00,447,470,8,high,car,0
2016-10-05 12:04:00,650,687,9,high,car,0
2016-10-05 12:04:00,3213,3883,10,high,bike,0
2016-10-05 12:04:00,369,485,8,high,car,0
2016-10-05 12:04:00,1264,3103,9,high,bike,0
2016-10-05 12:04:00,1359,2937,10,high,car,0
2016-10-05 12:04:00,779,1200,9,high,truck,0
2016-10-05 12:04:00,178,577,6,high,car,0
2016-10-05 12:04:00,809,1322,9,high,bike,0
2016-10-05 12:04:00,582,2803,8,high,bike,0
2016-10-05 12:04:00,653,690,8,high,cycle,0
2016-10-05 12:04:00,337,387,8,high,car,0
2016-10-05 12:04:00,1446,1920,9,high,car,0
2016-10-05 12:04:00,1459,2009,6,average,bike,0
2016-10-05 12:17:00,376,485,8,high,car,0
2016-10-05 12:30:00,662,690,8,high,car,0
2016-10-05 12:30:00,770,1200,9,high,car,0
2016-10-05 12:30:00,1278,3103,9,high,truck,0
2016-10-05 12:30:00,183,577,7,high,car,0
2016-10-05 12:30:00,811,1322,9,high,bike,0
2016-10-05 12:30:00,450,470,9,high,car,0
2016-10-05 12:30:00,336,387,8,high,bike,0
2016-10-05 12:30:00,1437,1920,7,average,car,0
2016-10-05 12:30:00,3190,3883,11,high,bike,0
2016-10-05 12:30:00,1371,2937,10,high,car,0
2016-10-05 12:30:00,1472,2009,9,high,car,0
2016-10-05 12:30:00,661,687,9,high,car,0
2016-10-05 12:30:00,580,2803,8,high,truck,0
2016-10-05 12:57:00,756,1200,8,high,car,0
2016-10-05 12:57:00,1490,2009,7,average,truck,0
2016-10-05 12:57:00,451,470,8,high,bike,0
2016-10-05 12:57:00,343,387,8,high,car,0
2016-10-05 12:57:00,373,485,8,high,car,0
2016-10-05 12:57:00,1381,2937,9,high,car,0
2016-10-05 12:57:00,3145,3883,11,high,bike,0
2016-10-05 12:57:00,827,1322,9,high,bike,0
2016-10-05 12:57:00,586,2803,9,high,car,0
2016-10-05 12:57:00,1418,1920,9,high,bike,0
2016-10-05 12:57:00,665,690,6,average,car,0
2016-10-05 12:57:00,175,577,7,high,car,0
2016-10-05 12:57:00,663,687,8,high,bike,0
2016-10-05 12:57:00,1279,3103,9,high,car,0
2016-10-05 13:30:00,372,485,7,high,truck,0
2016-10-05 13:30:00,179,577,6,high,truck,0
2016-10-05 13:30:00,761,1200,8,high,car,0
2016-10-05 13:30:00,638,687,8,high,car,0
2016-10-05 13:30:00,1462,2009,9,high,car,0
2016-10-05 13:30:00,669,690,7,high,car,0
2016-10-05 13:30:00,3146,3883,7,average,cycle,0
2016-10-05 13:30:00,824,1322,8,high,car,0
2016-10-05 13:30:00,1248,3103,9,high,car,0
2016-10-05 13:30:00,345,387,7,high,car,0
2016-10-05 13:30:00,1386,2937,6,average,car,0
2016-10-05 13:30:00,1427,1920,6,average,car,0
2016-10-05 13:30:00,454,470,8,high,car,0
2016-10-05 13:30:00,583,2803,8,high,car,0
2016-10-05 13:57:00,579,2803,5,average,car,0
2016-10-05 13:57:00,174,577,4,average,car,0
2016-10-05 13:57:00,1453,2009,6,average,car,0
2016-10-05 13:57:00,1237,3103,7,average,car,0
2016-10-05 13:57:00,1422,1920,6,average,car,0
2016-10-05 13:57:00,455,470,5,average,car,0
2016-10-05 13:57:00,818,1322,6,average,bike,0
2016-10-05 13:57:00,1375,2937,6,average,car,0
2016-10-05 13:57:00,368,485,7,high,car,0
2016-10-05 13:57:00,764,1200,5,average,bike,0
2016-10-05 13:57:00,635,687,6,average,bike,0
2016-10-05 13:57:00,662,690,6,average,car,0
2016-10-05 13:57:00,3140,3883,7,average,car,0
2016-10-05 13:57:00,345,387,5,average,car,0
2016-10-05 14:30:00,3072,3883,5,average,bike,0
2016-10-05 14:30:00,336,387,4,average,car,0
2016-10-05 14:30:00,767,1200,4,average,car,0
2016-10-05 14:30:00,1192,3103,4,average,car,0
2016-10-05 14:30:00,620,687,4,average,bike,0
2016-10-05 14:30:00,447,470,4,average,car,0
2016-10-05 14:30:00,158,577,5,high,car,0
2016-10-05 14:30:00,794,1322,4,average,car,0
2016-10-05 14:30:00,361,485,4,average,car,0
2016-10-05 14:30:00,1409,1920,4,average,car,0
2016-10-05 14:30:00,547,2803,4,average,car,0
2016-10-05 14:30:00,653,690,4,average,bike,0
2016-10-05 14:30:00,1414,2009,7,high,bike,0
2016-10-05 14:30:00,1350,2937,5,average,truck,0
2016-10-05 14:57:00,1355,2009,5,average,bike,0
2016-10-05 14:57:00,1378,1920,5,average,bike,0
2016-10-05 14:57:00,145,577,3,average,car,0
2016-10-05 14:57:00,1135,3103,7,high,bike,0
2016-10-05 14:57:00,326,387,6,high,bike,0
2016-10-05 14:57:00,521,2803,5,average,car,0
2016-10-05 14:57:00,435,470,4,average,bike,0
2016-10-05 14:57:00,747,1200,6,high,car,0
2016-10-05 14:57:00,632,690,6,high,car,0
2016-10-05 14:57:00,771,1322,5,average,truck,0
2016-10-05 14:57:00,356,485,4,average,bike,0
2016-10-05 14:57:00,584,687,5,average,car,0
2016-10-05 14:57:00,2963,3883,6,average,car,0
2016-10-05 14:57:00,1314,2937,6,high,car,0
2016-10-05 15:30:00,592,690,3,low,car,0
2016-10-05 15:30:00,306,387,2,average,car,0
2016-10-05 15:30:00,708,1322,2,low,car,0
2016-10-05 15:30:00,698,1200,4,average,car,0
2016-10-05 15:30:00,482,2803,2,low,truck,0
2016-10-05 15:30:00,1263,2009,3,low,bike,0
2016-10-05 15:30:00,325,485,2,low,car,0
2016-10-05 15:30:00,1303,1920,2,low,car,0
2016-10-05 15:30:00,2782,3883,3,low,car,0
2016-10-05 15:30:00,129,577,2,low,car,0
2016-10-05 15:30:00,403,470,3,low,truck,0
2016-10-05 15:30:00,555,687,3,low,car,0
2016-10-05 15:30:00,1223,2937,4,average,car,0
2016-10-05 15:30:00,1056,3103,3,low,car,0
2016-10-05 15:57:00,316,485,2,low,bike,0
2016-10-05 16:04:00,374,470,2,low,car,0
2016-10-05 16:04:00,1198,2009,2,low,car,0
2016-10-05 16:04:00,1152,2937,2,low,car,0
2016-10-05 16:04:00,2571,3883,3,low,car,0
2016-10-05 16:04:00,685,1322,3,average,car,0
2016-10-05 16:04:00,513,687,2,low,cycle,0
2016-10-05 16:04:00,284,387,1,low,car,0
2016-10-05 16:04:00,1203,1920,2,low,car,0
2016-10-05 16:04:00,992,3103,2,low,car,0
2016-10-05 16:04:00,641,1200,2,low,car,0
2016-10-05 16:04:00,550,690,2,low,car,0
2016-10-05 16:04:00,445,2803,3,low,car,0
2016-10-05 16:04:00,121,577,2,low,car,0
2016-10-05 16:30:00,494,690,2,low,bike,0
2016-10-05 16:30:00,632,1322,3,average,car,0
2016-10-05 16:30:00,299,485,2,low,truck,0
2016-10-05 16:30:00,2277,3883,2,low,bike,0
2016-10-05 16:30:00,390,2803,2,low,car,0
2016-10-05 16:30:00,1054,2937,3,average,car,0
2016-10-05 16:30:00,1097,2009,2,low,truck,0
2016-10-05 16:30:00,114,577,1,low,bike,0
2016-10-05 16:30:00,465,687,2,low,car,0
2016-10-05 16:30:00,335,470,2,low,bike,0
2016-10-05 16:30:00,544,1200,2,low,car,0
2016-10-05 16:30:00,893,3103,2,low,cycle,0
2016-10-05 16:30:00,261,387,3,average,bike,0
2016-10-05 16:30:00,1049,1920,2,low,car,0
2016-10-06 07:57:00,187,690,2,average,truck,0
2016-10-06 07:57:00,58,577,1,low,car,0
2016-10-06 07:57:00,760,2009,2,low,car,0
2016-10-06 07:57:00,98,387,1,low,car,0
2016-10-06 07:57:00,615,1920,2,low,car,0
2016-10-06 07:57:00,1117,3883,2,low,bike,0
2016-10-06 07:57:00,404,1322,1,low,bike,0
2016-10-06 07:57:00,260,485,2,low,bike,0
2016-10-06 07:57:00,545,2937,2,low,cycle,0
2016-10-06 07:57:00,356,687,2,low,car,0
2016-10-06 07:57:00,128,470,1,average,car,0
2016-10-06 07:57:00,225,1200,2,low,cycle,0
2016-10-06 07:57:00,174,2803,1,low,truck,0
2016-10-06 07:57:00,692,3103,2,low,car,0
2016-10-06 08:30:00,772,1920,3,average,car,0
2016-10-06 08:30:00,703,2937,3,average,truck,0
2016-10-06 08:30:00,199,470,1,low,bike,0
2016-10-06 08:30:00,293,690,2,low,car,0
2016-10-06 08:30:00,461,1322,2,low,car,0
2016-10-06 08:30:00,304,1200,2,low,bike,0
2016-10-06 08:30:00,133,387,2,low,car,0
2016-10-06 08:30:00,392,687,2,low,car,0
2016-10-06 08:30:00,785,3103,3,average,car,0
2016-10-06 08:30:00,63,577,1,low,car,0
